Time,Temperature,Change in Length
0.00000000,24.25487137,0.00000000
1.05083203,24.72624397,-0.19097441
2.10050988,24.77773476,-0.19643083
3.15019989,24.86748695,-0.17733338
4.20105600,24.76905251,-0.16369236
5.25067282,24.72624397,-0.15823597
6.30016899,24.69980431,-0.17460519
7.35086918,24.59503365,-0.18006161
8.40056992,24.98226166,-0.13913852
9.45022488,24.85426903,-0.14459494
10.50007534,25.16302681,-0.17460519
11.55009747,25.60713959,-0.11458468
12.60022545,25.87443161,-0.03273845
13.65030670,26.04209900,-0.08184618
14.70111370,26.34418869,-0.01091284
15.75109959,26.27520180,0.00000000
16.80120277,26.70639610,0.03546667
17.85096550,27.20747948,0.10912824
18.90049553,27.57041550,0.13913852
19.95032883,27.94340324,0.18006158
21.00115204,28.61539078,0.27554882
22.05009460,28.85475731,0.30010262
23.10097122,29.51957893,0.33284119
24.15075111,30.23295784,0.39013341
25.20064354,30.74332047,0.46925142
26.25011063,31.32860756,0.50471807
27.30002022,31.96253014,0.59747708
28.35092545,32.48983383,0.64931297
29.40101624,32.92253494,0.75844121
30.45013046,33.26706314,0.76389766
31.50011253,33.45590973,0.82664645
32.55019379,33.56142807,0.80482078
33.60039902,33.73794937,0.76389766
34.65117645,34.49807739,0.91940546
35.70104980,35.65861130,1.04763114
36.75082397,36.89799881,1.12947726
37.80037689,37.82939148,1.25224650
38.85034561,39.10021973,1.36683118
39.90120316,40.21553040,1.48960054
40.95074844,40.75619125,1.53870809
42.00060654,41.82063293,1.69694412
43.05036545,43.04134750,1.83062649
44.10037231,44.16411972,1.96430850
45.15027237,45.08572769,2.06252384
46.20015717,46.06436539,2.17438030
47.25010681,46.96403885,2.31079054
48.30117035,48.38586044,2.42264700
49.35113525,49.39017105,2.53177524
50.40068054,50.36007690,2.67091393
51.45035172,51.22377396,2.76094460
52.50011444,52.50675583,2.90553951
53.55017853,53.44554138,3.00921154
54.60007095,54.62596130,3.16471910
55.65114212,55.69596100,3.27657557
56.70110321,56.49226761,3.37751913
57.75088501,57.56921387,3.47846293
58.80058289,58.71084213,3.60123229
59.85028839,59.83203506,3.70217586
60.90004349,60.90714264,3.86313987
61.95055771,61.82022858,3.95044255
63.00042343,63.05124283,4.07866859
64.05046082,63.96874237,4.18234015
65.10028076,65.23498535,4.28601217
66.15035248,65.87135315,4.39241219
67.20035553,67.12194061,4.53700686
68.25052643,68.27537537,4.70342779
69.30057526,69.22223663,4.78527403
70.35031128,70.36132813,4.92168427
71.40047455,71.36172485,5.00898695
72.45043945,72.40929413,5.16176653
73.50048065,73.46788025,5.25179720
74.55006409,74.37833405,5.35274076
75.60063934,75.60664368,5.47551012
76.65045166,76.71416473,5.62283325
77.70092773,77.68898773,5.74287415
78.75058746,78.71542358,5.82472038
79.80033875,79.59166718,5.95021772
80.85045624,80.96331024,6.09208441
81.90016937,81.97300720,6.22576666
82.95003510,82.86470032,6.35944891
84.00067902,84.06477356,6.47403336
85.05057526,84.81844330,6.59680271
86.10026550,86.20878601,6.71411562
87.15116882,87.21991730,6.79050541
88.20000458,88.21114349,6.91873121
89.25019836,89.39922333,7.04695654
90.30015564,90.35247803,7.15335655
91.35015869,91.11023712,7.25975704
92.40006256,92.64665222,7.40435219
93.45107269,93.44468689,7.52439308
94.50106049,94.58904266,7.61987972
95.55086517,95.46189117,7.77265930
96.60076904,97.03656769,7.86268950
97.65083313,97.51919556,7.99364424
98.70092773,98.69410706,8.13551044
99.75089264,99.78155518,8.23099709
100.80059814,100.77493286,8.39196110
101.85038757,101.83052826,8.50109005
102.90029144,103.10780334,8.59112072
103.95034027,103.96579742,8.74662781
105.00027466,104.91128540,8.88576698
106.05006409,106.13885498,9.00035095
107.10108185,107.04079437,9.09856701
108.15116119,108.43051147,9.20769501
109.20094299,109.22560120,9.31955147
110.25097656,110.29500580,9.41776657
111.30108643,111.34209442,9.54599285
112.35094452,112.23798370,9.66876221
113.40077209,113.66438293,9.82154179
114.45072937,114.57260132,9.92794132
115.50011444,115.59001923,10.03706932
116.55090332,116.61286926,10.20621872
117.60050964,117.55805206,10.27442360
118.65045166,118.66669464,10.43538761
119.70012665,119.46076202,10.53360367
120.75097656,120.88620758,10.68911076
121.80075073,121.90570068,10.82552147
122.85082245,122.73780823,10.92646503
123.90118408,124.09825897,11.05196285
124.95008850,124.95983887,11.15290642
126.00019836,125.91577148,11.29477310
127.05103302,127.19542694,11.43118286
128.10089111,128.04055786,11.53758335
129.15066528,129.30004883,11.66853714
130.20053101,130.07133484,11.79403400
131.25032043,131.26545715,11.91407585
132.30044556,132.36517334,12.02320385
133.35031128,133.20558167,12.14051628
134.40043640,134.39353943,12.29875278
135.45022583,135.43537903,12.40515232
136.50059509,136.40199280,12.53065014
137.55026245,137.52326965,12.67797279
138.60038757,138.59892273,12.77073193
139.65011597,139.51457214,12.85530663
140.70008850,140.59376526,13.00535774
141.75093079,141.77592468,13.13631153
142.80087280,142.72076416,13.25362492
143.85050964,143.82745361,13.37366581
144.90060425,144.82569885,13.50461960
145.95033264,146.11428833,13.64921474
147.00108337,147.01547241,13.72560406
148.05062866,147.99470520,13.90293789
149.10066223,149.00846863,14.02297878
150.15055847,149.97973633,14.10755348
151.20040894,151.12387085,14.23850727
152.25013733,152.13058472,14.37764549
153.30091858,153.63354492,14.50587177
154.35006714,154.42515564,14.57134819
155.40081787,155.36698914,14.75140953
156.45022583,156.71322632,14.83598423
157.50012207,157.57017517,14.98057938
158.55009460,158.45579529,15.10607624
159.60079956,159.65957642,15.28341007
160.65040588,160.61708069,15.37344074
161.70046997,161.62770081,15.53440475
162.75045776,162.69747925,15.63261986
163.80027771,163.93469238,15.73629189
164.85006714,164.78048706,15.88634396
165.90022278,166.03358459,15.98728848
166.95008850,166.92773438,16.14552498
168.00073242,167.94395447,16.24101257
169.05050659,169.11006165,16.38287926
170.10057068,170.07257080,16.51928902
171.15023804,171.17108154,16.66115570
172.20106506,172.36674500,16.76210022
173.25103760,173.29364014,16.86849976
174.30094910,174.34355164,16.99399757
175.35075378,175.36949158,17.09494019
176.40066528,176.42652893,17.27500153
177.45039368,177.66197205,17.35957718
178.50024414,178.53501892,17.47689056
179.55000305,179.48733521,17.64331055
180.60110474,180.68542480,17.78517723
181.65100098,181.66389465,17.96251106
182.70056152,182.76765442,18.05254173
183.75025940,183.69375610,18.13438797
184.80003357,184.78782654,18.28170967
185.85081482,186.06791687,18.42630577
186.90083313,187.14224243,18.54088974
187.95056152,187.96429443,18.64728928
189.00036621,188.94790649,18.84099197
190.05021667,190.09280396,19.00195694
191.10073853,191.01031494,19.10290146
192.15029907,192.21261597,19.23658180
193.20118713,193.18562317,19.34025383
194.25045776,194.16958618,19.53122902
195.30032349,195.46548462,19.58306503
196.35040283,196.26904297,19.70856285
197.40026855,197.24598694,19.87771034
198.45109558,198.21304321,19.97865486
199.50083923,199.70457458,20.10415268
200.55088806,200.66682434,20.19691086
201.60038757,201.67324829,20.40425491
202.65017700,202.58671570,20.52429581
203.70039368,203.84060669,20.64979362
204.75044250,204.84666443,20.77529144
205.80024719,206.04435730,20.91988564
206.85018921,206.77441406,20.98536301
207.90107727,207.99336243,21.12995720
208.95108032,208.97540283,21.25545502
210.00085449,209.96397400,21.35367012
211.05058289,211.00158691,21.53646088
212.10047913,212.19432068,21.67559814
213.15051270,213.23699951,21.83110619
214.20048523,214.19091797,21.96751785
215.25047302,215.24293518,22.11756897
216.30036926,216.29727173,22.20214272
217.35003662,217.42262268,22.34946632
218.40048218,218.35090637,22.49678993
219.45043945,219.33480835,22.61683083
220.50112915,220.53601074,22.76960945
221.55099487,221.38616943,22.89237976
222.60061646,222.55632019,23.05879974
223.65046692,223.41746521,23.11336327
224.70025635,224.72772217,23.25522995
225.75013733,225.82112122,23.38345528
226.80110168,226.97657776,23.55533218
227.85089111,227.72639465,23.67264557
228.90092468,228.91871643,23.79541588
229.95027161,229.78480530,23.92364120
231.00097656,230.98710632,24.05459404
232.05061340,231.89041138,24.19100571
233.10017395,232.96450806,24.32468796
234.15011597,234.16015625,24.42563057
235.20005798,235.54566956,24.58932304
236.25091553,236.05114746,24.68481064
237.30084229,237.22041321,24.84577370
238.35087585,238.33518982,24.96581650
239.40095520,239.29774475,25.13496399
240.45037842,240.38629150,25.23045158
241.50061035,241.50720215,25.41324043
242.55091858,242.51258850,25.55783653
243.60011292,243.44995117,25.67242050
244.65020752,244.51708984,25.80337524
245.70022583,245.65541077,25.95069885
246.75009155,246.88795471,26.07073975
